country_code,country,strategy,period,status,statistically_insufficient,start,end,months,turnover_annualized_std,turnover_annualized_energy,turnover_annualized_delta,turnover_12m_std,turnover_12m_energy,contribution_energy_nominal_pts,active_months,activation_rate,active_phases,mean_run_months,median_run_months,max_run_months,last_activation,last_deactivation,signal_availability
IN,Inde,dynamic,10y,ok,false,2016-06,2026-06,121,0.376927,0.529832,0.152904,0.622645,0.65743,13.525019,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
IN,Inde,dynamic,5y,ok,false,2021-06,2026-06,61,0.375835,0.520847,0.145012,0.622645,0.65743,7.296788,35,0.57377,7,5,5,8,2026-01,2026-06,1
IN,Inde,binary,common,ok,false,2005-05,2026-06,254,0.739755,0.897956,0.158201,0.906429,1.033954,26.11283,145,0.570866,26,5.576923,5,18,2026-01,2026-06,1
IN,Inde,binary,20y,ok,false,2006-06,2026-06,241,0.704537,0.858155,0.153618,0.906429,1.033954,21.943478,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
IN,Inde,binary,10y,ok,false,2016-06,2026-06,121,0.77433,0.936998,0.162668,0.906429,1.033954,14.065664,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
IN,Inde,binary,5y,ok,false,2021-06,2026-06,61,1.050016,1.196988,0.146972,0.906429,1.033954,7.392985,35,0.57377,7,5,5,8,2026-01,2026-06,1
IT,Italie,dynamic,common,ok,false,2013-09,2026-06,154,0.35038,0.544115,0.193735,0.522604,0.679014,13.858824,81,0.525974,16,5.0625,4,14,2026-01,2026-06,1
IT,Italie,dynamic,20y,insufficient_history,true,2013-09,2026-06,154,,,,,,,,,,,,,,,
IT,Italie,dynamic,10y,ok,false,2016-06,2026-06,121,0.337495,0.539942,0.202446,0.522604,0.679014,13.191282,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
IT,Italie,dynamic,5y,ok,false,2021-06,2026-06,61,0.3145,0.533455,0.218955,0.522604,0.679014,7.151665,35,0.57377,7,5,5,8,2026-01,2026-06,1
