country_code,country,strategy,mode,period,status,statistically_insufficient,start,end,months,annualized_std,annualized_energy,annualized_delta,volatility_std,volatility_energy,volatility_delta,sharpe_std,sharpe_energy,sharpe_delta,calmar_std,calmar_energy,calmar_delta,maxDrawdown_std,maxDrawdown_energy,maxDrawdown_delta,currentDrawdown_std,currentDrawdown_energy,currentDrawdown_delta,maxUnderwaterMonths_std,maxUnderwaterMonths_energy,maxUnderwaterMonths_delta,bestYear_std,bestYear_energy,bestYear_delta,worstYear_std,worstYear_energy,worstYear_delta,delta_annualized_net_10bps,delta_annualized_net_25bps,delta_annualized_net_50bps
BR,Brésil,binary,real,common,ok,false,2008-10,2026-06,213,5.431546,5.7862,0.354653,10.735464,10.226497,-0.508967,0.168983,0.212073,0.04309,0.230477,0.239438,0.00896,-23.56652,-24.165802,-0.599282,-13.44122,-9.656225,3.784995,59,62,3,28.454399,26.599566,-1.854833,-10.189273,-10.289516,-0.100243,0.325117,0.280814,0.206974
BR,Brésil,binary,nominal,20y,insufficient_history,true,2008-10,2026-06,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,Brésil,binary,real,20y,insufficient_history,true,2008-10,2026-06,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,Brésil,binary,nominal,10y,ok,false,2016-06,2026-06,121,13.715525,14.549627,0.834102,12.395999,11.709747,-0.686252,0.368174,0.460982,0.092808,0.592187,0.612274,0.020087,-23.16081,-23.763273,-0.602463,-11.584531,-7.718348,3.866183,11,6,-5,31.159367,28.228204,-2.931163,-1.551055,2.233407,3.784463,0.804443,0.759954,0.685807
BR,Brésil,binary,real,10y,ok,false,2016-06,2026-06,121,8.303272,9.097675,0.794404,12.431053,11.701423,-0.72963,0.349662,0.439354,0.089692,0.352333,0.376469,0.024136,-23.56652,-24.165802,-0.599282,-13.44122,-9.656225,3.784995,42,38,-4,25.795029,22.318745,-3.476285,-8.280404,-4.265483,4.01492,0.764744,0.720256,0.646108
BR,Brésil,binary,nominal,5y,ok,false,2021-06,2026-06,61,14.254826,14.911884,0.657058,8.953845,8.376811,-0.577034,0.263406,0.359989,0.096582,1.230505,1.932004,0.701499,-11.584531,-7.718348,3.866183,-11.584531,-7.718348,3.866183,11,5,-6,31.159367,28.228204,-2.931163,-1.551055,2.233407,3.784463,0.622084,0.569623,0.482188
BR,Brésil,binary,real,5y,ok,false,2021-06,2026-06,61,8.016235,8.637416,0.621181,8.977839,8.249776,-0.728063,0.248358,0.345573,0.097215,0.596392,0.894492,0.2981,-13.44122,-9.656225,3.784995,-13.44122,-9.656225,3.784995,29,29,0,25.795029,22.318745,-3.476285,-4.608307,-0.936034,3.672274,0.586207,0.533746,0.446311
CA,Canada,dynamic,nominal,common,ok,false,1995-01,2026-06,378,8.172191,9.265308,1.093117,7.251607,7.096568,-0.15504,0.758938,0.929553,0.170615,0.586192,0.664601,0.078409,-13.941155,-13.941155,0,-10.911048,-6.450786,4.460262,40,56,16,39.208845,34.245389,-4.963457,-7.858339,-7.258477,0.599863,1.061193,1.013306,0.933495
CA,Canada,dynamic,real,common,ok,false,1995-01,2026-06,378,5.882485,6.952464,1.069979,7.308234,7.094523,-0.213712,0.737117,0.91014,0.173022,0.410852,0.485583,0.074731,-14.31778,-14.31778,0,-12.854616,-8.49166,4.362956,90,75,-15,36.002823,31.153677,-4.849147,-8.984765,-8.392236,0.592529,1.038055,0.990168,0.910357
CA,Canada,dynamic,nominal,20y,ok,false,2006-06,2026-06,241,8.246561,8.890395,0.643834,7.561246,7.226224,-0.335023,0.851938,0.980533,0.128595,0.755799,0.788994,0.033195,-10.911048,-11.268015,-0.356967,-10.911048,-6.450786,4.460262,40,56,16,39.208845,34.245389,-4.963457,-7.858339,-7.258477,0.599863,0.608653,0.55588,0.467926
CA,Canada,dynamic,real,20y,ok,false,2006-06,2026-06,241,5.904282,6.534185,0.629903,7.633381,7.233076,-0.400305,0.825627,0.958407,0.13278,0.459312,0.494423,0.03511,-12.854616,-13.21579,-0.361174,-12.854616,-8.49166,4.362956,90,75,-15,36.002823,31.153677,-4.849147,-8.984765,-8.392236,0.592529,0.594721,0.541949,0.453994
CA,Canada,dynamic,nominal,10y,ok,false,2016-06,2026-06,121,10.449472,11.378294,0.928822,8.112827,7.363462,-0.749365,1.037481,1.269202,0.231722,0.957696,1.763861,0.806165,-10.911048,-6.450786,4.460262,-10.911048,-6.450786,4.460262,12,9,-3,39.208845,34.245389,-4.963457,0.195519,2.506107,2.310588,0.888703,0.828524,0.728225
CA,Canada,dynamic,real,10y,ok,false,2016-06,2026-06,121,7.476541,8.380362,0.903821,8.30915,7.495528,-0.813623,0.985702,1.213279,0.227577,0.581623,0.986893,0.40527,-12.854616,-8.49166,4.362956,-12.854616,-8.49166,4.362956,43,11,-32,36.002823,31.153677,-4.849147,-4.8227,-0.324325,4.498375,0.863702,0.803523,0.703224
CA,Canada,dynamic,nominal,5y,ok,false,2021-06,2026-06,61,14.803674,15.652938,0.849263,9.161882,8.005998,-1.155885,1.277139,1.567607,0.290468,1.35676,2.426516,1.069756,-10.911048,-6.450786,4.460262,-10.911048,-6.450786,4.460262,9,7,-2,39.208845,34.245389,-4.963457,1.191977,5.974624,4.782647,0.815106,0.763869,0.678475
CA,Canada,dynamic,real,5y,ok,false,2021-06,2026-06,61,10.703283,11.522213,0.818931,9.421865,8.129178,-1.292686,1.197542,1.488712,0.29117,0.832641,1.356886,0.524245,-12.854616,-8.49166,4.362956,-12.854616,-8.49166,4.362956,23,10,-13,36.002823,31.153677,-4.849147,-4.8227,-0.324325,4.498375,0.784773,0.733537,0.648143
CA,Canada,binary,nominal,common,ok,false,1995-01,2026-06,378,8.845577,9.968063,1.122486,8.198319,7.975734,-0.222585,0.753436,0.9152,0.161764,0.532777,0.622389,0.089612,-16.60277,-16.015807,0.586963,-11.40113,-7.064836,4.336294,91,88,-3,44.060201,38.31438,-5.745822,-11.318087,-10.381178,0.936909,1.096915,1.058558,0.994631
CA,Canada,binary,real,common,ok,false,1995-01,2026-06,378,6.541618,7.640344,1.098726,8.272452,7.994207,-0.278244,0.730879,0.893758,0.162879,0.314933,0.378039,0.063106,-20.771483,-20.210458,0.561025,-13.334006,-9.092313,4.241693,100,99,-1,40.742451,35.128958,-5.613494,-12.402218,-11.476762,0.925456,1.073155,1.034798,0.970871
CA,Canada,binary,nominal,20y,ok,false,2006-06,2026-06,241,8.525096,9.200412,0.675316,8.624921,8.252838,-0.372083,0.779167,0.896124,0.116958,0.513474,0.574458,0.060984,-16.60277,-16.015807,0.586963,-11.40113,-7.064836,4.336294,91,88,-3,44.060201,38.31438,-5.745822,-11.318087,-10.381178,0.936909,0.644442,0.59813,0.520943
CA,Canada,binary,real,20y,ok,false,2006-06,2026-06,241,6.17679,6.837494,0.660704,8.716276,8.28355,-0.432726,0.754317,0.873483,0.119166,0.297369,0.338315,0.040946,-20.771483,-20.210458,0.561025,-13.334006,-9.092313,4.241693,100,99,-1,40.742451,35.128958,-5.613494,-12.402218,-11.476762,0.925456,0.629829,0.583517,0.50633
CA,Canada,binary,nominal,10y,ok,false,2016-06,2026-06,121,11.835214,12.668233,0.833019,8.924553,8.193976,-0.730576,1.098391,1.297986,0.199595,1.038074,1.495115,0.457041,-11.40113,-8.473082,2.928048,-11.40113,-7.064836,4.336294,12,8,-4,44.060201,38.31438,-5.745822,-2.753805,-0.15558,2.598225,0.79872,0.747271,0.661523
